name,team,bats,throws
aaron ashby,MIL,R,L
aaron bummer,ATL,L,L
aaron civale,ATH,R,R
aaron judge,NYY,R,R
aaron nola,PHI,R,R
abimelec ortiz,WSH,L,L
abner uribe,MIL,R,R
adael amador,COL,S,R
adam frazier,LAA,L,R
adam macko,TOR,L,L
adam mazur,MIA,R,R
addison barger,TOR,L,R
adley rutschman,BAL,S,R
adolis garcia,PHI,R,R
adrian del castillo,ARI,L,R
adrian houser,SF,R,R
adrian morejon,SD,L,L
agustin ramirez,MIA,R,R
aj blubaugh,HOU,R,R
aj minter,NYM,L,L
aj puk,ARI,L,L
aj smithshawver,ATL,R,R
akil baddoo,MIL,L,L
alan rangel,PHI,R,R
alan roden,MIN,L,R
albert suarez,BAL,R,R
alec bohm,PHI,R,R
alec burleson,STL,L,L
alec gamboa,BOS,S,L
alec marsh,KC,R,R
alejandro kirk,TOR,R,R
alejandro osuna,TEX,L,L
alek jacob,SD,L,R
alek manoah,LAA,R,R
alek thomas,ARI,L,L
alex bregman,CHC,R,R
alex call,LAD,R,R
alex carrillo,NYM,R,R
alex cook,TB,R,R
alex freeland,LAD,S,R
alex hoppe,SEA,R,R
alex lange,KC,R,R
alex mcfarlane,PHI,R,R
alex vesia,LAD,L,L
amed rosario,NYY,R,R
andre granillo,WSH,R,R
andre pallante,STL,R,R
andres chaparro,WSH,R,R
andres gimenez,TOR,L,R
andres munoz,SEA,R,R
andrew abbott,CIN,L,L
andrew alvarez,WSH,L,L
andrew benintendi,CWS,L,L
andrew chafin,CIN,R,L
andrew hoffmann,ARI,R,R
andrew kittredge,BAL,R,R
andrew mccutchen,TEX,R,R
andrew morris,MIN,R,R
andrew nardi,MIA,L,L
andrew painter,PHI,R,R
andrew saalfrank,ARI,L,L
andrew vaughn,MIL,R,R
andrew walters,CLE,R,R
andruw monasterio,BOS,R,R
andy ibanez,ATH,R,R
andy ibanez,NYM,R,R
andy pages,LAD,R,R
angel chivilli,NYY,R,R
angel genao,CLE,S,R
angel martinez,CLE,S,R
angel zerpa,MIL,L,L
anthony banda,MIN,L,L
anthony bender,MIA,R,R
anthony kay,CWS,L,L
anthony molina,ATL,R,R
anthony nunez,BAL,S,R
anthony rendon,LAA,R,R
anthony santander,TOR,S,R
anthony seigler,BOS,L,S
anthony volpe,NYY,R,R
antonio senzatela,COL,R,R
antwone kelly,PIT,R,R
aroldis chapman,BOS,L,L
austin hays,CWS,R,R
austin hedges,CLE,R,R
austin martin,MIN,R,R
austin peterson,CLE,R,R
austin riley,ATL,R,R
austin slater,MIA,R,R
austin slater,NYM,R,R
austin warren,NYM,R,R
austin wells,NYY,L,R
austin wynns,ATH,R,R
bailey falter,KC,R,L
bailey horn,DET,L,L
bailey ober,MIN,R,R
beau brieske,DET,R,R
ben brown,CHC,R,R
ben casparius,LAD,R,R
ben cowles,CHC,R,R
ben joyce,LAA,R,R
ben kudrna,KC,R,R
ben rice,NYY,L,R
ben williamson,TB,R,R
bennett sousa,HOU,L,L
billy cook,PIT,R,R
blade tidwell,SF,R,R
blaine crim,COL,R,R
blake dunn,CIN,R,R
blake perkins,MIL,S,R
blake snell,LAD,L,L
blake treinen,LAD,R,R
blake walston,ARI,L,L
